City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
404,Acarau,BR,78.8,overcast clouds,-2.8856,-40.12,castelo pizzaria
409,Mareeba,AU,81.32,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
410,Luganville,VU,81.73,broken clouds,-15.5333,167.1667,The Espiritu Hotel
413,Charters Towers,AU,84.22,light rain,-20.1,146.2667,Cattleman's Rest Motor Inn
415,Katobu,ID,84.36,overcast clouds,-4.9408,122.5276,La Ode Husein
418,Broken Hill,AU,83.91,clear sky,-31.95,141.4333,Royal Exchange Hotel
422,Diamantino,BR,71.22,clear sky,-14.4086,-56.4461,Hotel Delta
433,Flinders,AU,70.21,moderate rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
434,Atambua,ID,74.32,moderate rain,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
435,Yenagoa,NG,79.27,scattered clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
437,Benguela,AO,78.03,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
438,Nampula,MZ,80.55,scattered clouds,-15.1165,39.2666,BUTIK Hotel
439,Tual,ID,84.36,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
443,Gympie,AU,75.31,moderate rain,-26.1898,152.665,Mary River Motor Inn
444,Kimbe,PG,81.79,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
445,Tutoia,BR,74.57,overcast clouds,-2.7619,-42.2744,Pousada Guará's
447,Abu Dhabi,AE,77.11,few clouds,24.4667,54.3667,Ramee Garden Hotel Apartments
450,Cayenne,GF,75.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
451,San Juan,AR,83.79,overcast clouds,-31.5375,-68.5364,Hotel Provincial
452,Fayaoue,NC,81.52,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
455,Isabela,PH,86.05,overcast clouds,6.7085,121.9711,Isawad Resort
461,Sausar,IN,76.35,clear sky,21.65,78.7833,Vithai Sadan
465,Yei,SS,78.12,light rain,4.095,30.6779,City Link Hotel
468,Myitkyina,MM,76.19,clear sky,25.3833,97.4,Shwe Phyu Hotel
472,La Primavera,CO,77.54,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
479,Saint-Pierre,RE,85.19,light rain,-21.3393,55.4781,Lindsey Hôtel
484,Kandrian,PG,81.59,moderate rain,-6.2167,149.55,Kandrian Station
485,Cururupu,BR,74.62,light rain,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
490,Tocache,PE,70.07,overcast clouds,-8.1842,-76.5125,Hotel Ortiz
493,Iquitos,PE,78.84,few clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
499,Lucea,JM,76.86,scattered clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
503,Itaquyry,PY,75.42,overcast clouds,-24.9333,-55.2167,Posada Santa Celina
505,Kota,IN,76.42,few clouds,25.1833,75.8333,Capital O 84094 Hotel Tanishq
507,Vanimo,PG,82.56,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
511,Jacareacanga,BR,72.63,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
512,Hobyo,SO,82.02,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
513,Letpadan,MM,82.87,clear sky,17.7833,95.75,Ko Arkar Lin
519,Cobija,BO,74.25,overcast clouds,-11.0267,-68.7692,Hotel Obelisco
521,Ballina,AU,84.38,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
526,Kidodi,TZ,86.36,clear sky,-7.6036,37.0044,Royal Family Lodge
528,Magelang,ID,83.75,scattered clouds,-7.4706,110.2178,Puri Asri Magelang Hotel & Resort
532,Kikwit,CD,77.86,scattered clouds,-5.041,18.8162,HOTEL PLACE YALABA
533,Kabwe,ZM,73.13,overcast clouds,-14.4469,28.4464,Tuskers
536,Uthal,PK,77.0,overcast clouds,25.8072,66.6219,Al-Mustafa Hotel
540,Vilhena,BR,70.74,overcast clouds,-12.7406,-60.1458,Hotel Mirage
541,Makakilo City,US,71.92,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
542,Nabire,ID,86.67,light rain,-3.3667,135.4833,Hotel Nusantara Nabire
544,Launceston,AU,73.15,scattered clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
558,Jizan,SA,81.54,scattered clouds,17.3333,42.6667,شهدان. ابوالحجر
559,Moroto,UG,77.11,few clouds,2.5345,34.6666,"Kara-Tunga, Karamoja Safari Camp"
566,Port Macquarie,AU,79.9,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
571,Iracoubo,GF,75.33,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
574,Mana,GF,75.29,broken clouds,5.6592,-53.7767,LE SAMANA
575,Obidos,BR,74.26,overcast clouds,-1.9175,-55.5181,Hotel Amazônia Center
577,Doha,QA,70.11,clear sky,25.2867,51.5333,Movenpick Hotel Doha
579,Kasama,ZM,77.31,overcast clouds,-10.2129,31.1808,Kalebalika Cottages
580,Norsup,VU,82.92,scattered clouds,-16.0667,167.3833,Nabelchel Bungalows
582,Kapoeta,SS,84.87,broken clouds,4.7717,33.5903,Eastgate Hotel
584,Innisfail,AU,80.37,overcast clouds,-17.5333,146.0333,Moondarra Motel
590,Alofi,NU,80.49,few clouds,-19.0595,-169.9187,Taloa Heights
591,Kelo,TD,75.45,overcast clouds,9.3086,15.8066,Plantation de Kelo
596,Quatre Cocos,MU,89.71,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
601,Ibra,OM,77.38,overcast clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
603,Forbes,AU,73.92,overcast clouds,-33.3833,148.0167,Lake Forbes Motel
609,Hubli,IN,82.44,clear sky,15.35,75.1667,Hotel Swathi
611,San-Pedro,CI,78.64,few clouds,4.7485,-6.6363,Hotel Maria
614,Alta Floresta,BR,70.52,light rain,-9.8756,-56.0861,Floresta Amazonica Hotel
616,Hwange,ZW,73.99,light rain,-18.3693,26.5019,Hwange Colliery Guest House
622,Maryborough,AU,78.12,heavy intensity rain,-25.5333,152.7,Blue Shades Motel
624,Reconquista,AR,71.69,broken clouds,-29.15,-59.65,Grand Hotel
629,Ambon,ID,84.43,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
635,Sao Gabriel Da Cachoeira,BR,72.0,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
639,Beira,MZ,84.29,light rain,-19.8436,34.8389,Beira Terrace Hotel
642,The Valley,AI,78.1,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
654,Mocuba,MZ,86.52,overcast clouds,-16.8392,36.9856,Phama Lodge
671,Byron Bay,AU,84.31,overcast clouds,-28.65,153.6167,Backpackers Inn
672,Esperance,AU,84.04,clear sky,-33.8667,121.9,Hospitality Esperance
673,Kattivakkam,IN,86.09,clear sky,13.2167,80.3167,Euronova Freezer
676,Abu Zabad,SD,70.16,clear sky,12.35,29.25,حامد محمد نور
677,Eyl,SO,82.26,overcast clouds,7.9803,49.8164,Amiin Hotel
679,Santa Rosa,PH,84.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
680,Nagtipunan,PH,72.28,overcast clouds,16.2167,121.6,D' Fields Travellers Place
681,Sinnamary,GF,75.81,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
682,Zabid,YE,82.4,clear sky,14.1951,43.3152,مغرب التريبه
692,Bambanglipuro,ID,84.88,broken clouds,-7.95,110.2833,Puri Brata
694,Menongue,AO,75.04,overcast clouds,-14.6585,17.691,Ritz Lauca
